title,issn,publisher,subjectAreas,licenseAgreement,oaModel
Feminist Theology,0966-7350,Sage,,100%,Hybrid
Feminist Theory,1464-7001,Sage,,100%,Hybrid
Field Methods,1525-822X,Sage,,100%,Hybrid
FIIB Business Review,2319-7145,Sage,,100%,Hybrid
First Language,0142-7237,Sage,,100%,Hybrid
Focus on Autism and Other Developmental Disabilities,1088-3576,Sage,,100%,Hybrid
Food and Nutrition Bulletin,0379-5721,Sage,,100%,Hybrid
Food Science and Technology International,1082-0132,Sage,,100%,Hybrid
Foot & Ankle International,1071-1007,Sage,,100%,Hybrid
Foot & Ankle Specialist,1938-6400,Sage,,100%,Hybrid
Foregut,2634-5161,Sage,,100%,Hybrid
Foreign Trade Review,0015-7325,Sage,,100%,Hybrid
Forum Italicum,0014-5858,Sage,,100%,Hybrid
French Cultural Studies,0957-1558,Sage,,100%,Hybrid
Games and Culture,1555-4120,Sage,,100%,Hybrid
Gender & Society,0891-2432,Sage,,100%,Hybrid
German Journal of Human Resource Management,2397-0022,Sage,,100%,Hybrid
Gifted Child Quarterly,0016-9862,Sage,,100%,Hybrid
Gifted Child Today,1076-2175,Sage,,100%,Hybrid
Gifted Education International,0261-4294,Sage,,100%,Hybrid
Global Business Review,0972-1509,Sage,,100%,Hybrid
Global Health Promotion,1757-9759,Sage,,100%,Hybrid
Global Journal of Emerging Market Economies,0974-9101,Sage,,100%,Hybrid
Global Media and Communication,1742-7665,Sage,,100%,Hybrid
Global Social Policy,1468-0181,Sage,,100%,Hybrid
Global Studies of Childhood,2043-6106,Sage,,100%,Hybrid
Group & Organization Management,1059-6011,Sage,,100%,Hybrid
Group Analysis,0533-3164,Sage,,100%,Hybrid
Group Processes & Intergroup Relations,1368-4302,Sage,,100%,Hybrid
HAND,1558-9447,Sage,,100%,Hybrid
Health,1363-4593,Sage,,100%,Hybrid
Health Education & Behavior,1090-1981,Sage,,100%,Hybrid
Health Education Journal,0017-8969,Sage,,100%,Hybrid
Health Information Management Journal,1833-3583,Sage,,100%,Hybrid
Health Promotion Practice,1524-8399,Sage,,100%,Hybrid
Healthcare Management Forum,0840-4704,Sage,,100%,Hybrid
HERD: Health Environments Research & Design Journal,1937-5867,Sage,,100%,Hybrid
High Performance Polymers,0954-0083,Sage,,100%,Hybrid
Higher Education for the Future,2347-6311,Sage,,100%,Hybrid
HIP International,1120-7000,Sage,,100%,Hybrid
Hispanic Health Care International,1540-4153,Sage,,100%,Hybrid
Hispanic Journal of Behavioral Sciences,0739-9863,Sage,,100%,Hybrid
History and Sociology of South Asia,2230-8075,Sage,,100%,Hybrid
History of Psychiatry,0957-154X,Sage,,100%,Hybrid
History of Science,0073-2753,Sage,,100%,Hybrid
History of the Human Sciences,0952-6951,Sage,,100%,Hybrid
Home Health Care Management & Practice,1084-8223,Sage,,100%,Hybrid
Homicide Studies,1088-7679,Sage,,100%,Hybrid
Hospital Pharmacy,0018-5787,Sage,,100%,Hybrid
HSS Journal,1556-3316,Sage,,100%,Hybrid
Human Factors,0018-7208,Sage,,100%,Hybrid
Human Geography,1942-7786,Sage,,100%,Hybrid
Human Relations,0018-7267,Sage,,100%,Hybrid
Human Resource Development Review,1534-4843,Sage,,100%,Hybrid
"Human Systems: Therapy, Culture and Attachments",2634-4041,Sage,,100%,Hybrid
Humanity & Society,0160-5976,Sage,,100%,Hybrid
IFLA Journal,0340-0352,Sage,,100%,Hybrid
IIM Kozhikode Society & Management Review,2277-9752,Sage,,100%,Hybrid
"Illness, Crisis & Loss",1054-1373,Sage,,100%,Hybrid
ILR Review,0019-7939,Sage,,100%,Hybrid
"Imagination, Cognition and Personality",0276-2366,Sage,,100%,Hybrid
Improving Schools,1365-4802,Sage,,100%,Hybrid
Incarceration,2632-6663,Sage,,100%,Hybrid
Inclusive Practices,2732-4745,Sage,,100%,Hybrid
Index on Censorship,0306-4220,Sage,,100%,Subscription
India Quarterly,0974-9284,Sage,,100%,Hybrid
Indian Historical Review,0376-9836,Sage,,100%,Hybrid
Indian Institute of Public Administration,0019-5561,Sage,,100%,Hybrid
Indian Journal of Clinical Medicine,2633-9447,Sage,,100%,Hybrid
Indian Journal of Corporate Governance,0974-6862,Sage,,100%,Hybrid
Indian Journal of Gender Studies,0971-5215,Sage,,100%,Hybrid
Indian Journal of Human Development,0973-7030,Sage,,100%,Hybrid
Indoor and Built Environment,1420-326X,Sage,,100%,Hybrid
Industry & Higher Education,0950-4222,Sage,,100%,Hybrid
Information Development,0266-6669,Sage,,100%,Hybrid
Information Visualization,1473-8716,Sage,,100%,Hybrid
InnovAiT,1755-7380,Sage,,100%,Subscription
Innovations,1556-9845,Sage,,100%,Hybrid
Insight on Africa,0975-0878,Sage,,100%,Hybrid
Institutionalised Children Explorations and Beyond,2349-3003,Sage,,100%,Hybrid
Int Jnl of Entrepreneurship and Innovation,1465-7503,Sage,,100%,Hybrid
Interdisciplinary Science Reviews,0308-0188,Sage,,100%,Hybrid
International Bulletin of Mission Research,2396-9393,Sage,,100%,Hybrid
International Communication Gazette,1748-0485,Sage,,100%,Hybrid
International Criminal Justice Review,1057-5677,Sage,,100%,Hybrid
International Journal,0020-7020,Sage,,100%,Hybrid
International Journal of Aeroacoustics,1475-472X,Sage,,100%,Hybrid
International Journal of Architectural Computing,1478-0771,Sage,,100%,Hybrid
International Journal of Behavioral Development,0165-0254,Sage,,100%,Hybrid
International Journal of Bilingualism,1367-0069,Sage,,100%,Hybrid
International Journal of Business Communication,2329-4884,Sage,,100%,Hybrid
International Journal of Christianity & Education,2056-9971,Sage,,100%,Hybrid
International Journal of Clinical Metabolism and Diabetes,yyyy-yyyy,Sage,,100%,Hybrid
International Journal of Commerce and Contracting,2055-5636,Sage,,100%,Hybrid
International Journal of Community and Social Development,2516-6026,Sage,,100%,Hybrid
International Journal of Comparative Sociology,0020-7152,Sage,,100%,Hybrid
International Journal of Cross Cultural Management,1470-5958,Sage,,100%,Hybrid
International Journal of Cultural Studies,1367-8779,Sage,,100%,Hybrid
International Journal of Damage Mechanics,1056-7895,Sage,,100%,Hybrid
International Journal of Discrimination and the Law,1358-2291,Sage,,100%,Hybrid
International Journal of Educational Reform,1056-7879,Sage,,100%,Hybrid
International Journal of Electrical Engineering Education,0020-7209,Sage,,100%,Hybrid
International Journal of Evidence & Proof,1365-7127,Sage,,100%,Hybrid
International Journal of Maritime History,0843-8714,Sage,,100%,Hybrid
International Journal of Market Research,1470-7853,Sage,,100%,Hybrid
International Journal of Mass Emergencies & Disasters,0280-7270,Sage,,100%,Hybrid
International Journal of Mechanical Engineering Education,0306-4190,Sage,,100%,Hybrid
International Journal of Music Education,0255-7614,Sage,,100%,Hybrid
International Journal of Offender Therapy&Comparative Criminology,0306-624X,Sage,,100%,Hybrid
International Journal of Police Science & Management,1461-3557,Sage,,100%,Hybrid
International Journal of Protective Structures,2041-4196,Sage,,100%,Hybrid
International Journal of Rural Management,0973-0052,Sage,,100%,Hybrid
International Journal of Social Psychiatry,0020-7640,Sage,,100%,Hybrid
International Journal of Social Psychology,0213-4748,Sage,,100%,Hybrid
International Journal of Space Structures,0956-0599,Sage,,100%,Hybrid
International journal of Sports Science & Coaching,1747-9541,Sage,,100%,Hybrid
International Journal of Spray and Combustion Dynamics,1756-8277,Sage,,100%,Hybrid
International Journal of Stroke,1747-4930,Sage,,100%,Hybrid
International Journal of Surgical Pathology,1066-8969,Sage,,100%,Hybrid
International Journal of Toxicology,1091-5818,Sage,,100%,Hybrid
International Materials Reviews,0950-6608,Sage,,100%,Hybrid
International Migration Review,0197-9183,Sage,,100%,Hybrid
International Political Science Abstracts,0020-8345,Sage,,100%,Subscription
International Political Science Review,0192-5121,Sage,,100%,Hybrid
International Regional Science Review,0160-0176,Sage,,100%,Hybrid
International Relations,0047-1178,Sage,,100%,Hybrid
International Review for the Sociology of Sport,1012-6902,Sage,,100%,Hybrid
International Review of Administrative Sciences,0020-8523,Sage,,100%,Hybrid
International Review of Qualitative Research,1940-8447,Sage,,100%,Hybrid
International Review of Victimology,0269-7580,Sage,,100%,Hybrid
International Small Business Journal,0266-2426,Sage,,100%,Hybrid
International Social Work,0020-8728,Sage,,100%,Hybrid
International Sociology,0268-5809,Sage,,100%,Hybrid
International Studies,0020-8817,Sage,,100%,Hybrid
International Wood Products Journal,2042-6445,Sage,,100%,Hybrid
Interpretation,0020-9643,Sage,,100%,Hybrid
Intervention in School and Clinic,1053-4512,Sage,,100%,Hybrid
Interventional Neuroradiology,1591-0199,Sage,,100%,Hybrid
Intl Jrnl of Social Determinants of Health & Health Services,2755-1938,Sage,,100%,Hybrid
Irish Economic and Social History,0332-4893,Sage,,100%,Hybrid
Irish Journal of Sociology,0791-6035,Sage,,100%,Hybrid
Irish Theological Quarterly,0021-1400,Sage,,100%,Hybrid
Ironmaking & Steelmaking,0301-9233,Sage,,100%,Hybrid
Jadavpur Journal of International Relations,0973-5984,Sage,,100%,Hybrid
JDR Clinical & Translational Research,2380-0844,Sage,,100%,Hybrid
Jindal Journal of Business Research,2278-6821,Sage,,100%,Hybrid
Journal for the Education of the Gifted,0162-3532,Sage,,100%,Hybrid
Journal for the History of Astronomy,0021-8286,Sage,,100%,Hybrid
Journal for the Study of Education and Development,0210-3702,Sage,,100%,Hybrid
Journal for the Study of the New Testament,0142-064X,Sage,,100%,Hybrid
Journal for the Study of the Old Testament,0309-0892,Sage,,100%,Hybrid
Journal for the Study of the Pseudepigrapha,0951-8207,Sage,,100%,Hybrid
Journal for Vascular Ultrasound,1544-3167,Sage,,100%,Hybrid
"Journal of Accounting, Auditing & Finance",0148-558X,Sage,,100%,Hybrid
Journal of Adolescent Research,0743-5584,Sage,,100%,Hybrid
Journal of Adult and Continuing Education,1477-9714,Sage,,100%,Hybrid
Journal of Advanced Academics,1932-202X,Sage,,100%,Hybrid
Journal of Advanced Oral Research,2320-2068,Sage,,100%,Hybrid
Journal of Advertising Education,1098-0482,Sage,,100%,Hybrid
Journal of Aging and Health,0898-2643,Sage,,100%,Hybrid
Journal of Alternative Finance,-,Sage,,100%,Hybrid
Journal of Applied Gerontology,0733-4648,Sage,,100%,Hybrid
Journal of Applied Social Science,1936-7244,Sage,,100%,Hybrid
Journal of Asian and African Studies,0021-9096,Sage,,100%,Hybrid
Journal of Asian Economic Integration,2631-6846,Sage,,100%,Hybrid
Journal of Asian Security and International Affairs,2347-7970,Sage,,100%,Hybrid
Journal of Attention Disorders,1087-0547,Sage,,100%,Hybrid
Journal of Bioactive and Compatible Polymers,0883-9115,Sage,,100%,Hybrid
Journal of Biological Rhythms,0748-7304,Sage,,100%,Hybrid
Journal of Biomaterials Applications,0885-3282,Sage,,100%,Hybrid
Journal of Black Psychology,0095-7984,Sage,,100%,Hybrid
Journal of Black Studies,0021-9347,Sage,,100%,Hybrid
Journal of Building Physics,1744-2591,Sage,,100%,Hybrid
Journal of Business and Technical Communication,1050-6519,Sage,,100%,Hybrid
Journal of Career Assessment,1069-0727,Sage,,100%,Hybrid
Journal of Career Development,0894-8453,Sage,,100%,Hybrid
Journal of Cases in Educational Leadership,1555-4589,Sage,,100%,Hybrid
Journal of Cellular Plastics,0021-955X,Sage,,100%,Hybrid
Journal of Cerebral Blood Flow & Metabolism,0271-678X,Sage,,100%,Hybrid
Journal of Child Health Care,1367-4935,Sage,,100%,Hybrid
Journal of Child Neurology,0883-0738,Sage,,100%,Hybrid
Journal of Chinese Writing Systems,2513-8502,Sage,,100%,Hybrid
Journal of Classical Sociology,1468-795X,Sage,,100%,Hybrid
Journal of Clinical Urology,2051-4158,Sage,,100%,Hybrid
Journal of Cognitive Engineering and Decision Making,1555-3434,Sage,,100%,Hybrid
"Journal of College Student Retention: Research, Theory & Practice",1521-0251,Sage,,100%,Hybrid
Journal of Communication Inquiry,0196-8599,Sage,,100%,Hybrid
Journal of Composite Materials,0021-9983,Sage,,100%,Hybrid
Journal of Conflict Resolution,0022-0027,Sage,,100%,Hybrid
Journal of Consumer Culture,1469-5405,Sage,,100%,Hybrid
Journal of Contemporary Criminal Justice,1043-9862,Sage,,100%,Hybrid
Journal of Contemporary Ethnography,0891-2416,Sage,,100%,Hybrid
Journal of Contemporary History,0022-0094,Sage,,100%,Hybrid
Journal of Creating Value,2394-9643,Sage,,100%,Hybrid
Journal of Creative Communications,0973-2586,Sage,,100%,Hybrid
Journal of Criminal Law,0022-0183,Sage,,100%,Hybrid
Journal of Criminology,2633-8076,Sage,,100%,Hybrid
Journal of Cross-Cultural Psychology,0022-0221,Sage,,100%,Hybrid
Journal of Cutaneous Medicine and Surgery,1203-4754,Sage,,100%,Hybrid
Journal of Dance Medicine Science,1089-313X,Sage,,100%,Hybrid
Journal of Dental Research,0022-0345,Sage,,100%,Hybrid
Journal of Developing Societies,0169-796X,Sage,,100%,Hybrid
Journal of Development Policy and Practice,2455-1333,Sage,,100%,Hybrid
Journal of Diabetes Science and Technology,1932-2968,Sage,,100%,Hybrid
Journal of Diagnostic Medical Sonography,8756-4793,Sage,,100%,Hybrid
Journal of Disability Policy Studies,1044-2073,Sage,,100%,Hybrid
Journal of Drug Education,0047-2379,Sage,,100%,Hybrid
Journal of Drug Issues,0022-0426,Sage,,100%,Hybrid
Journal of Early Childhood Literacy,1468-7984,Sage,,100%,Hybrid
Journal of Early Childhood Research,1476-718X,Sage,,100%,Hybrid
Journal of Early Intervention,1053-8151,Sage,,100%,Hybrid
Journal of Education,0022-0574,Sage,,100%,Hybrid
Journal of Education for Sustainable Development,0973-4082,Sage,,100%,Hybrid
Journal of Educational and Behavioral Statistics,1076-9986,Sage,,100%,Hybrid
Journal of Educational Computing Research,0735-6331,Sage,,100%,Hybrid
Journal of Educational Technology Systems,0047-2395,Sage,,100%,Hybrid
Journal of Elastomers & Plastics,0095-2443,Sage,,100%,Hybrid
Journal of Emerging Market Finance,0972-6527,Sage,,100%,Hybrid
Journal of Emotional and Behavioral Disorders,1063-4266,Sage,,100%,Hybrid
Journal of Empirical Research on Human Research Ethics,1556-2646,Sage,,100%,Hybrid
Journal of Endometriosis and Pelvic Pain Disorders,2284-0265,Sage,,100%,Hybrid
Journal of Endovascular Therapy,1526-6028,Sage,,100%,Hybrid
Journal of English Linguistics,0075-4242,Sage,,100%,Hybrid
Journal of Entrepreneurship and Innovation in Emerging Economies,2393-9575,Sage,,100%,Hybrid
Journal of Ethnobiology,0278-0771,Sage,,100%,Hybrid
Journal of European Social Policy,0958-9287,Sage,,100%,Hybrid
Journal of European Studies,0047-2441,Sage,,100%,Hybrid
Journal of Experiential Education,1053-8259,Sage,,100%,Hybrid
Journal of Family History,0363-1990,Sage,,100%,Hybrid
Journal of Family Issues,0192-513X,Sage,,100%,Hybrid
Journal of Family Nursing,1074-8407,Sage,,100%,Hybrid
Journal of Fire Sciences,0734-9041,Sage,,100%,Hybrid
Journal of General Management,0306-3070,Sage,,100%,Hybrid
Journal of General Music Education,2752-7646,Sage,,100%,Hybrid
Journal of Generic Medicines,1741-1343,Sage,,100%,Hybrid
Journal of Geriatric Psychiatry and Neurology,0891-9887,Sage,,100%,Hybrid
Journal of Hand Surgery (European Volume),1753-1934,Sage,,100%,Hybrid
Journal of Health and Social Behavior,0022-1465,Sage,,100%,Hybrid
Journal of Health Management,0972-0634,Sage,,100%,Hybrid
Journal of Health Psychology,1359-1053,Sage,,100%,Hybrid
Journal of Heritage Management,2455-9296,Sage,,100%,Hybrid
Journal of Hispanic Higher Education,1538-1927,Sage,,100%,Hybrid
Journal of Histochemistry & Cytochemistry,0022-1554,Sage,,100%,Hybrid
Journal of Historical Research in Music Education,1536-6006,Sage,,100%,Hybrid
Journal of Holistic Nursing,0898-0101,Sage,,100%,Hybrid
Journal of Hospitality & Tourism Cases,2164-9987,Sage,,100%,Hybrid
Journal of Hospitality & Tourism Research,1096-3480,Sage,,100%,Hybrid
Journal of Human Lactation,0890-3344,Sage,,100%,Hybrid
Journal of Human Values,0971-6858,Sage,,100%,Hybrid
Journal of Humanistic Psychology,0022-1678,Sage,,100%,Hybrid
Journal of Industrial Relations,0022-1856,Sage,,100%,Hybrid
Journal of Infection Prevention,1757-1774,Sage,,100%,Hybrid
Journal of Information Science,0165-5515,Sage,,100%,Hybrid
Journal of Information Technology,0268-3962,Sage,,100%,Hybrid
Journal of Information Technology Teaching Cases,2043-8869,Sage,,100%,Hybrid
Journal of Infrastructure Development,0974-9306,Sage,,100%,Hybrid
Journal of Intellectual Disabilities,1744-6295,Sage,,100%,Hybrid
Journal of Intelligent Material Systems and Structures,1045-389X,Sage,,100%,Hybrid
Journal of Intensive Care Medicine,0885-0666,Sage,,100%,Hybrid
Journal of Interactive Marketing,1094-9968,Sage,,100%,Hybrid
Journal of Interdisciplinary Economics,0260-1079,Sage,,100%,Hybrid
Journal of Interior Design,1071-7641,Sage,,100%,Hybrid
Journal of International Marketing,1069-031X,Sage,,100%,Hybrid
Journal of International Political Theory,1755-0882,Sage,,100%,Hybrid
Journal of Interpersonal Violence,0886-2605,Sage,,100%,Hybrid
Journal of Interpretation Research,1092-5872,Sage,,100%,Hybrid
Journal of Investigative Medicine,1081-5589,Sage,,100%,Hybrid
Journal of Land and Rural Studies,2321-0249,Sage,,100%,Hybrid
Journal of Language and Social Psychology,0261-927X,Sage,,100%,Hybrid
Journal of Leadership & Organizational Studies,1548-0518,Sage,,100%,Hybrid
Journal of Learning Disabilities,0022-2194,Sage,,100%,Hybrid
Journal of Librarianship and Information Science,0961-0006,Sage,,100%,Hybrid
Journal of Literacy Research,1086-296X,Sage,,100%,Hybrid
Journal of Macromarketing,0276-1467,Sage,,100%,Hybrid
Journal of Management,0149-2063,Sage,,100%,Hybrid
Journal of Management Education,1052-5629,Sage,,100%,Hybrid
Journal of Management Inquiry,1056-4926,Sage,,100%,Hybrid
Journal of Management Scientific Reports,2755-0311,Sage,,100%,Hybrid
Journal of Marketing,0022-2429,Sage,,100%,Hybrid
Journal of Marketing Education,0273-4753,Sage,,100%,Hybrid
Journal of Marketing Research,0022-2437,Sage,,100%,Hybrid
Journal of Material Culture,1359-1835,Sage,,100%,Hybrid
Journal of Micromanufacturing,2516-5984,Sage,,100%,Hybrid
Journal of Mixed Methods Research,1558-6898,Sage,,100%,Hybrid
Journal of Modern European History,1611-8944,Sage,,100%,Hybrid
Journal of Music Teacher Education,1057-0837,Sage,,100%,Hybrid
Journal of Near Infrared Spectroscopy,0967-0335,Sage,,100%,Hybrid
Journal of Neonatology,0973-2179,Sage,,100%,Hybrid
Journal of Oncology Pharmacy Practice,1078-1552,Sage,,100%,Hybrid
Journal of Onco-Nephrology,2399-3693,Sage,,100%,Hybrid
Journal of Operations and Strategic Planning,2516-600X,Sage,,100%,Hybrid
Journal of Orthodontics,1465-3125,Sage,,100%,Hybrid
Journal of Palliative Care,0825-8597,Sage,,100%,Hybrid
Journal of Pastoral Care & Counseling,1542-3050,Sage,,100%,Hybrid
Journal of Peace Research,0022-3433,Sage,,100%,Hybrid
Journal of Peacebuilding & Development,1542-3166,Sage,,100%,Hybrid
Journal of Pediatric Hematology/Oncology Nursing,2752-7530,Sage,,100%,Hybrid
Journal of Perioperative Practice,1750-4589,Sage,,100%,Hybrid
Journal of Pharmacy Practice,0897-1900,Sage,,100%,Hybrid
Journal of Pharmacy Technology,8755-1225,Sage,,100%,Hybrid
Journal of Planning Education and Research,0739-456X,Sage,,100%,Hybrid
Journal of Planning History,1538-5132,Sage,,100%,Hybrid
Journal of Planning Literature,0885-4122,Sage,,100%,Hybrid
Journal of Plastic Film & Sheeting,8756-0879,Sage,,100%,Hybrid
Journal of Positive Behavior Interventions,1098-3007,Sage,,100%,Hybrid
Journal of Prevention and Health Promotion,2632-0770,Sage,,100%,Hybrid
Journal of Psoriasis and Psoriatic Arthritis,2475-5303,Sage,,100%,Hybrid
Journal of Psychoeducational Assessment,0734-2829,Sage,,100%,Hybrid
Journal of Psychologists and Counsellors in Schools,2055-6365,Sage,,100%,Hybrid
